time,u,v,w,p,q,r,phi,theta,psi,pn,pe,pd
0,84.9905,0,1.2713,0,0,0,0,0.0149,0,0,0,500
2,84.9922,0,1.27088,0,5.66477e-07,0,0,0.0148965,0,170.002,0,500.01
4,84.9938,0,1.27079,0,3.95423e-06,0,0,0.0149017,0,340.007,0,500.019
6,84.9951,0,1.27066,0,6.56027e-06,0,0,0.0149122,0,510.015,0,500.026
8,84.996,0,1.27058,0,8.57107e-06,0,0,0.0149275,0,680.025,0,500.031
10,84.9965,0,1.27053,0,9.85735e-06,0,0,0.014946,0,850.036,0,500.032
12,84.9967,0,1.27052,0,1.03673e-05,0,0,0.0149664,0,1020.05,0,500.031
14,84.9964,0,1.27055,0,1.01106e-05,0,0,0.014987,0,1190.06,0,500.026
16,84.9957,0,1.27061,0,9.14918e-06,0,0,0.0150064,0,1360.07,0,500.017
18,84.9948,0,1.2707,0,7.5922e-06,0,0,0.0150232,0,1530.08,0,500.006
20,84.9937,0,1.2708,0,5.58464e-06,0,0,0.0150364,0,1700.09,0,499.993
22,84.9924,0,1.27092,0,3.29525e-06,0,0,0.0150453,0,1870.09,0,499.977
24,84.9912,0,1.27104,0,9.03114e-07,0,0,0.0150495,0,2040.1,0,499.961
26,84.99,0,1.27115,0,-1.41565e-06,0,0,0.015049,0,2210.1,0,499.945
28,84.9889,0,1.27124,0,-3.50027e-06,0,0,0.015044,0,2380.09,0,499.93
30,84.9881,0,1.27132,0,-5.21588e-06,0,0,0.0150353,0,2550.09,0,499.915
32,84.9876,0,1.27137,0,-6.46162e-06,0,0,0.0150235,0,2720.09,0,499.903
34,84.9873,0,1.27139,0,-7.17585e-06,0,0,0.0150098,0,2890.08,0,499.893
36,84.9873,0,1.27139,0,-7.33834e-06,0,0,0.0149952,0,3060.07,0,499.886
38,84.9876,0,1.27136,0,-6.96927e-06,0,0,0.0149808,0,3230.07,0,499.881
40,84.9881,0,1.27131,0,-6.12549e-06,0,0,0.0149676,0,3400.06,0,499.878
42,84.9888,0,1.27124,0,-4.89438e-06,0,0,0.0149565,0,3570.06,0,499.877
44,84.9897,0,1.27116,0,-3.38587e-06,0,0,0.0149482,0,3740.06,0,499.878
46,84.9906,0,1.27108,0,-1.72326e-06,0,0,0.0149431,0,3910.05,0,499.88
48,84.9915,0,1.271,0,-3.37637e-08,0,0,0.0149413,0,4080.06,0,499.882
50,84.9923,0,1.27092,0,1.56086e-06,0,0,0.0149429,0,4250.06,0,499.884
52,84.993,0,1.27086,0,2.95261e-06,0,0,0.0149474,0,4420.06,0,499.885
54,84.9935,0,1.27081,0,4.05413e-06,0,0,0.0149545,0,4590.07,0,499.885
56,84.9938,0,1.27079,0,4.80377e-06,0,0,0.0149634,0,4760.07,0,499.883
58,84.9939,0,1.27078,0,5.16845e-06,0,0,0.0149735,0,4930.08,0,499.88
60,84.9938,0,1.27078,0,5.14439e-06,0,0,0.0149838,0,5100.09,0,499.876
62,84.9936,0,1.27081,0,4.75568e-06,0,0,0.0149938,0,5270.09,0,499.869
64,84.9931,0,1.27085,0,4.05097e-06,0,0,0.0150026,0,5440.1,0,499.861
66,84.9926,0,1.2709,0,3.09859e-06,0,0,0.0150098,0,5610.1,0,499.852
68,84.992,0,1.27096,0,1.98053e-06,0,0,0.0150149,0,5780.11,0,499.841
70,84.9913,0,1.27102,0,7.85902e-07,0,0,0.0150177,0,5950.11,0,499.831
72,84.9907,0,1.27107,0,-3.95902e-07,0,0,0.0150181,0,6120.11,0,499.82
74,84.9902,0,1.27112,0,-1.48153e-06,0,0,0.0150162,0,6290.11,0,499.809
76,84.9897,0,1.27117,0,-2.39925e-06,0,0,0.0150123,0,6460.11,0,499.799
78,84.9894,0,1.27119,0,-3.09344e-06,0,0,0.0150067,0,6630.11,0,499.79
80,84.9892,0,1.27121,0,-3.52756e-06,0,0,0.0150001,0,6800.11,0,499.782
82,84.9892,0,1.27121,0,-3.68567e-06,0,0,0.0149928,0,6970.1,0,499.775
84,84.9893,0,1.2712,0,-3.57241e-06,0,0,0.0149855,0,7140.1,0,499.769
86,84.9896,0,1.27118,0,-3.21146e-06,0,0,0.0149787,0,7310.1,0,499.765
88,84.9899,0,1.27115,0,-2.64277e-06,0,0,0.0149728,0,7480.1,0,499.762
90,84.9903,0,1.27111,0,-1.91875e-06,0,0,0.0149682,0,7650.1,0,499.759
